Top,p.value,FDR,summary.logFC,logFC.hspc,ensembl_gene_id
209,0.10999468647336459,0.1473613024523545,-0.2500949907638512,-0.2500949907638512,ENSMUSG00000040528
210,0.11103530561111583,0.1480470741481544,-0.18188315772986785,-0.18188315772986785,ENSMUSG00000030786
211,0.11288406433416023,0.1497987583581273,-0.1051849527106588,-0.1051849527106588,ENSMUSG00000004105
212,0.117002812644277,0.1545320166999885,-0.1159174289377668,-0.1159174289377668,ENSMUSG00000063354
213,0.11809717278683635,0.15524510976673325,-0.03686921777219798,-0.03686921777219798,ENSMUSG00000023132
214,0.11975899425613697,0.15669401117625395,0.24395405966219963,0.24395405966219963,ENSMUSG00000018507
215,0.12620479347366428,0.16435973103546977,-0.21840830624081778,-0.21840830624081778,ENSMUSG00000029156
216,0.13329372592851046,0.17278816324066174,-0.060917610721347326,-0.060917610721347326,ENSMUSG00000028965
217,0.14064689980316805,0.1814798707137652,-0.05008566471344794,-0.05008566471344794,ENSMUSG00000030577
218,0.144462021119952,0.18554755006232368,-0.05574800690682337,-0.05574800690682337,ENSMUSG00000062593
219,0.15392050184460926,0.19679333569173788,0.11769895832615712,0.11769895832615712,ENSMUSG00000030084
220,0.16975228285765331,0.21604836000064964,-0.047609284643472714,-0.047609284643472714,ENSMUSG00000005540
221,0.17744888236772335,0.22482211340707034,0.23554446694176967,0.23554446694176967,ENSMUSG00000029163
222,0.19065934012545807,0.24047123979787505,0.01859154641780918,0.01859154641780918,ENSMUSG00000022225
223,0.20559402476051758,0.2581449638248651,-0.08346267551220743,-0.08346267551220743,ENSMUSG00000019796
224,0.2201572251227902,0.2751965314034877,-0.16994090325762667,-0.16994090325762667,ENSMUSG00000023960
225,0.22979712488222923,0.2859697554089964,-0.022495346395446723,-0.022495346395446723,ENSMUSG00000027863
226,0.23576891283470205,0.2921030778483034,0.1463383724748324,0.1463383724748324,ENSMUSG00000043557
227,0.24149645728114427,0.2978810926815877,0.1512898203954427,0.1512898203954427,ENSMUSG00000018900
228,0.27007483949558947,0.33167085552089937,-0.0668880787772892,-0.0668880787772892,ENSMUSG00000054252
229,0.2822528107340023,0.3451126070110072,-0.06718287766678233,-0.06718287766678233,ENSMUSG00000015314
230,0.2864432390502066,0.34871350840894716,-0.03747592318794388,-0.03747592318794388,ENSMUSG00000086564
231,0.29955651905302455,0.3630988109733631,0.027246018171175015,0.027246018171175015,ENSMUSG00000029082
232,0.3047864259754284,0.36784568652206867,-0.12587036337001045,-0.12587036337001045,ENSMUSG00000033880
233,0.30884207817009435,0.37064060390673237,0.05549506804485205,0.05549506804485205,ENSMUSG00000000303
234,0.3097496475506264,0.37064060390673237,-0.022196591211027024,-0.022196591211027024,ENSMUSG00000027376
235,0.321126334044371,0.38261861077627185,0.151908284477821,0.151908284477821,ENSMUSG00000007613
236,0.3280807180859709,0.38924830959352474,0.07830978377720033,0.07830978377720033,ENSMUSG00000020689
237,0.356647337351326,0.42135550404376065,-0.14355561508971082,-0.14355561508971082,ENSMUSG00000022967
238,0.3687738062212637,0.4338515367308985,-0.04456022274557658,-0.04456022274557658,ENSMUSG00000026012
