xenbase_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
XB-GENE-6256189,15,30.25,13.590437814875575,34.5,31,43,53,207,0
XB-GENE-6256190,223,252,128.9192253570687,344.8333333333333,294.5,444.25,525,2069,0
XB-GENE-6256193,24,27,7.277820186475251,32.833333333333336,33,38.25,42,197,0
XB-GENE-6256196,38,48,20.597734503257065,63.333333333333336,64,77.75,89,380,0
XB-GENE-6256198,194,247,92.78936720695248,312.3333333333333,317.5,359.5,448,1874,0
XB-GENE-6256199,0,0.25,1.2110601416389966,1.3333333333333333,1.5,2,3,8,2
XB-GENE-6256206,28,34.25,12.496666222103665,43.166666666666664,44,48.5,62,259,0
XB-GENE-6256207,31,41.25,12.853015210447703,49,49.5,58.5,64,294,0
XB-GENE-6256209,0,0,0.5163977794943222,0.3333333333333333,0,0.75,1,2,4
XB-GENE-6256214,60,62.75,28.033908040086025,84.5,74,105.5,124,507,0
XB-GENE-6256216,32,42.75,15.832456116050556,50.333333333333336,49,51.5,79,302,0
XB-GENE-6256217,4,5,1.0327955589886444,5.333333333333333,5,5.75,7,32,0
XB-GENE-6256218,84,122.5,50.029657870773676,151.83333333333334,148,186.25,218,911,0
XB-GENE-6256219,283,381.75,165.74247091999885,459.1666666666667,400,507.5,753,2755,0
XB-GENE-6256220,36,40.5,13.9522996909709,49.666666666666664,45,56.25,73,298,0
