xenbase_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
XB-GENE-966748,105,123.5,66.0595690772099,181.33333333333334,186,230.5,263,1088,0
XB-GENE-966763,99,139,105.96540315908143,216.66666666666666,197,306,345,1300,0
XB-GENE-966795,419,478.25,207.35034764057346,647.1666666666666,629.5,792.75,930,3883,0
XB-GENE-966803,2627,3039,1318.8992380011446,4091,4174,4652.75,6098,24546,0
XB-GENE-966825,4,7.5,4.633213427705081,10.333333333333334,10.5,12.75,17,62,0
XB-GENE-966836,650,721.75,372.7208070392636,1009,889,1298.5,1525,6054,0
XB-GENE-966929,94,128.25,85.2543254034656,187.5,162.5,262,294,1125,0
XB-GENE-966949,208,244.75,102.95371128165641,325.6666666666667,332,369.75,484,1954,0
XB-GENE-966960,1320,1555.75,788.9364359693371,2258.5,2435,2769,3218,13551,0
XB-GENE-966975,126,172.75,65.93936608733814,212,208.5,246.5,309,1272,0
XB-GENE-966984,10,19.25,9.84716541278081,25.166666666666668,28,31.5,36,151,0
XB-GENE-967001,129,161,120.34118164618461,271,295.5,368.5,397,1626,0
XB-GENE-967018,22,29,17.060676031935742,43.666666666666664,48,58,60,262,0
XB-GENE-967031,98,114.5,62.56969447477482,171.83333333333334,186.5,223.25,234,1031,0
XB-GENE-967053,39,47.75,29.88923998141583,68.16666666666667,62,77,121,409,0
XB-GENE-967073,168,220.5,165.42158263056245,293.5,250.5,255.75,624,1761,0
XB-GENE-967095,56,73.75,47.99027679297825,115.33333333333333,125,152.25,168,692,0
XB-GENE-967116,56,68.25,25.398818870175834,87.5,93,98.25,123,525,0
XB-GENE-967136,74,108.5,39.422920575049574,124.83333333333333,116,139.25,190,749,0
XB-GENE-967162,97,98.25,44.88652359004872,131,117,141.75,213,786,0
XB-GENE-967172,182,223.5,70.71185662013596,271.8333333333333,270,312.75,374,1631,0
XB-GENE-967184,911,1030.75,989.6797461805511,1902,1773,2732,3120,11412,0
XB-GENE-967193,26,29.5,27.802278084118694,50.166666666666664,43,59.5,99,301,0
XB-GENE-967208,543,656,444.1360152025503,1055,1097,1441.25,1528,6330,0
XB-GENE-967222,637,709,372.50986564116664,1023,1028.5,1181.5,1609,6138,0
XB-GENE-967233,3,4,2.258317958127243,5.5,5,6.75,9,33,0
XB-GENE-967246,38,51.5,17.34839089560374,60.833333333333336,59,68.75,88,365,0
XB-GENE-967274,522,580.75,176.56358627984423,703.5,674,768.75,1001,4221,0
XB-GENE-967285,47,69.75,32.04215972745907,89.5,93.5,100,139,537,0
XB-GENE-967297,38,39.25,10.8397416943394,47.5,45,51.5,66,285,0
XB-GENE-967306,42,48.5,31.929088096384255,72.33333333333333,66,84.25,127,434,0
XB-GENE-967335,177,225.75,210.6254179026517,370.6666666666667,282.5,520,676,2224,0
XB-GENE-967342,36,41.25,7.661592523751182,46.5,47,52,56,279,0
XB-GENE-967350,10,12,10.329569206893384,19.5,16,25.25,36,117,0
XB-GENE-967364,292,345.75,103.09542505206846,407.3333333333333,370,493.25,540,2444,0
XB-GENE-967389,344,438.5,186.93635280490523,553,512,633.5,862,3318,0
XB-GENE-967409,321,395.75,276.8918561460413,637.5,664.5,811.75,1008,3825,0
XB-GENE-967548,1346,1583.25,845.1138187644707,2190.8333333333335,2061.5,2467,3650,13145,0
XB-GENE-967560,86,107,72.91204747273709,171.83333333333334,186,219.25,262,1031,0
XB-GENE-967570,2,4.25,2.422120283277993,5.333333333333333,5,6.5,9,32,0
XB-GENE-967622,21,26.25,14.12326685532305,37.666666666666664,39,45,58,226,0
XB-GENE-967651,44,74.25,66.41084248825639,130,150,183,193,780,0
XB-GENE-967720,95,110.75,29.871390995398926,129.5,120.5,153.5,169,777,0
XB-GENE-967780,894,1153,652.9936446857657,1718.5,1918,2254.75,2316,10311,0
XB-GENE-967806,89,107.25,54.84310956416191,146.16666666666666,134.5,172.25,236,877,0
XB-GENE-967815,68,110.75,73.7827893210876,161.5,164,197,272,969,0
XB-GENE-967825,131,151.5,39.125439294658406,179,177.5,202.75,234,1074,0
XB-GENE-967849,106,131.75,93.86248806987095,182.16666666666666,148,188.25,363,1093,0
XB-GENE-967869,41,51.25,31.50079364079578,75.5,72.5,92.25,124,453,0
XB-GENE-967887,13,23.25,10.40512694140089,27.333333333333332,24.5,34.75,41,164,0
